Strompreis [Euro/kWh],Netzlast [kW]
0.2887892,0.388140308
0.2848146,0.625229882
0.2844933,0.471818981
0.2878729,0.259189326
0.2969169,0.368615284
0.3060323,0.199434171
0.3258458,0.270882885
0.3316411,0.438991194
0.321062,0.639283608
0.3055682,0.840863386
0.2982973,0.869292679
0.294168,1.368146308
0.2898245,0.20512003
0.2849336,0.294162721
0.2833985,0.273886734
0.2791383,0.263051419
0.277984,0.26326598
0.2783053,0.265518867
0.2823156,0.634026871
0.2880276,0.313687744
0.2993445,0.262515017
0.3076626,0.289335105
0.2956674,0.811683131
0.2887773,0.872940211
0.288099,0.388140308
0.2873136,0.625229882
0.2887297,0.471818981
0.2949296,0.259189326
0.2987376,0.368615284
0.3062465,0.199434171
0.3115182,0.270882885
0.3170041,0.438991194
0.3133032,0.639283608
0.3037951,0.840863386
0.2957031,0.869292679
0.2939419,1.368146308
0.2887059,0.20512003
0.2862188,0.294162721
0.2855286,0.273886734
0.2845409,0.263051419
0.2838864,0.26326598
0.2864925,0.265518867
0.2913953,0.634026871
0.2987138,0.313687744
0.3098522,0.262515017
0.3111612,0.289335105
0.3065083,0.811683131
0.3010581,0.872940211
0.2960363,0.388140308
0.2920736,0.625229882
0.29155,0.471818981
0.2959768,0.259189326
0.3020934,0.368615284
0.3068534,0.199434171
0.3163139,0.270882885
0.3162068,0.438991194
0.3027598,0.639283608
0.2966432,0.840863386
0.2877182,0.869292679
0.287861,1.368146308
0.2828868,0.20512003
0.2743783,0.294162721
0.2735691,0.273886734
0.2721887,0.263051419
0.2708678,0.26326598
0.2739261,0.265518867
0.2764846,0.634026871
0.2831724,0.313687744
0.295358,0.262515017
0.2966789,0.289335105
0.2899435,0.811683131
0.2774842,0.872940211
0.2758539,0.388140308
0.2750566,0.625229882
0.2750328,0.471818981
0.2767821,0.259189326
0.287266,0.368615284
0.296072,0.199434171
0.2991541,0.270882885
0.3049137,0.438991194
0.3041521,0.639283608
0.2990232,0.840863386
0.2953699,0.869292679
0.2937634,1.368146308
0.2842077,0.20512003
0.2809828,0.216506393
0.2806139,0.222605158
0.2792811,0.218031081
0.2778293,0.215744038
0.2777817,0.225654557
0.2788051,0.282830529
0.2784362,0.374312103
0.2804949,0.507722731
0.290003,0.741763086
0.288099,1.158004243
0.2865877,0.391846064
0.285005,0.259960136
0.2821133,0.539741289
0.2785314,0.276731753
0.283101,0.414716469
0.2946916,0.576333911
0.3020696,1.085581331
0.3174206,0.269870633
0.3437553,0.609114813
0.3202171,0.497049879
0.3090906,1.051275741
0.3015222,0.417765857
0.2989875,0.568710435
0.2950248,0.39946954
0.2870161,0.708490305
0.2780078,0.466569166
0.2739975,0.471155812
0.2726647,0.309549759
0.27251,0.351805448
0.2704632,0.642813449
0.2675477,0.662526264
0.2710582,0.400697134
0.2690471,0.454175465
0.2639896,0.449100879
