PV,wind,electrical load
0.02,0.557,73048.98
0.016,0.628,74193.92
0.027,0.699,73524.96
0.023,0.713,71623.03
0.005,0.637,70883.42
0.0,0.586,70379.54
0.0,0.511,70660.71
0.0,0.631,73309.91
0.0,0.836,72735.76
0.0,0.822,69399.65
0.0,0.734,65383.92
0.0,0.676,62180.97
0.0,0.647,58148.18
0.0,0.617,55505.25
0.0,0.552,54091.6
0.0,0.515,52712.89
0.0,0.488,52984.46
0.0,0.443,53980.64
0.0,0.41,56582.51
0.0,0.404,62209.27
0.067,0.404,69343.05
0.247,0.406,72306.67
0.385,0.419,74128.39
0.506,0.406,74674.78
0.485,0.384,75440.84
0.468,0.369,75360.57
0.448,0.352,74197.77
0.294,0.293,72079.55
0.077,0.265,70904.11
0.0,0.264,70104.65
0.0,0.237,69926.54
0.0,0.244,72885.21
0.0,0.244,72482.34
0.0,0.24,68683.06
0.0,0.256,64299.45
0.0,0.224,61073.5
0.0,0.175,57552.97
0.0,0.146,54018.2
0.0,0.135,52547.87
0.0,0.15,51659.41
0.0,0.15,50776.53
0.0,0.123,50691.18
0.0,0.116,50976.29
0.0,0.114,51301.6
0.033,0.105,54014.48
0.061,0.094,57441.19
0.097,0.094,60968.16
0.133,0.104,63246.7
0.154,0.108,62721.74
0.186,0.106,62022.38
0.23,0.091,60461.6
0.14,0.064,58694.32
0.034,0.051,57322.65
0.0,0.045,57670.54
0.0,0.032,60265.38
0.0,0.019,65333.94
0.0,0.014,64807.78
0.0,0.02,61887.36
0.0,0.028,58437.91
0.0,0.036,57187.33
0.0,0.041,54872.68
0.0,0.044,52108.09
0.0,0.046,50203.97
0.0,0.042,48731.75
0.0,0.037,47937.05
0.0,0.039,47637.92
0.0,0.049,47694.34
0.0,0.054,47236.25
0.002,0.054,49179.34
0.01,0.045,51842.53
0.021,0.031,55140.13
0.03,0.022,56996.25
0.027,0.018,58476.03
0.016,0.015,58500.47
0.009,0.016,56588.82
0.005,0.025,54334.77
0.0,0.04,53129.06
0.0,0.053,52955.37
0.0,0.054,56091.92
0.0,0.046,62500.99
0.0,0.039,62452.01
0.0,0.039,60601.62
0.0,0.043,57689.68
0.0,0.045,58162.42
0.0,0.044,56429.11
0.0,0.045,53157.93
0.0,0.049,51711.12
0.0,0.05,50833.22
0.0,0.046,50805.02
0.0,0.044,51982.25
0.0,0.047,54555.79
0.0,0.052,61501.07
0.135,0.057,68805.1
0.347,0.054,71851.31
0.507,0.04,73396.96
0.604,0.025,73495.15
0.631,0.014,73948.35
0.577,0.01,74555.75
0.474,0.012,73458.84
